x, y, z, nx, ny, nz, 
58.4, 0, 0, 0, 0, 1, 
58.5, 0, 0, 0, 0, 1, 
58.6, 0, 0, 0, 0, 1, 
58.7, 0, 0, 0, 0, 1, 
58.8, 0, 0, 0, 0, 1, 
58.9, 0, 0, 0, 0, 1, 
59, 0, 0, 0, 0, 1, 
59.1, 0, 0, 0, 0, 1, 
59.2, 0, 0, 0, 0, 1, 
59.3, 0, 0, 0, 0, 1, 
59.4, 0, 0, 0, 0, 1, 
59.5, 0, 0, 0, 0, 1, 
59.6, 0, 0, 0, 0, 1, 
59.7, 0, 0, 0, 0, 1, 
59.8, 0, 0, 0, 0, 1, 
59.9, 0, 0, 0, 0, 1, 
60, 0, 0, 0, 0, 1, 
62, 0, 0, 0, 0, 1, 
64, 0, 0, 0, 0, 1, 
66, 0, 0, 0, 0, 1, 
68, 0, 0, 0, 0, 1, 
70, 0, 0, 0, 0, 1, 
72, 0, 0, 0, 0, 1, 
74, 0, 0, 0, 0, 1, 
76, 0, 0, 0, 0, 1, 
78, 0, 0, 0, 0, 1, 
80, 0, 0, 0, 0, 1, 
82, 0, 0, 0, 0, 1, 
84, 0, 0, 0, 0, 1, 
86, 0, 0, 0, 0, 1, 
88, 0, 0, 0, 0, 1, 
90, 0, 0, 0, 0, 1, 
92, 0, 0, 0, 0, 1, 
94, 0, 0, 0, 0, 1, 
96, 0, 0, 0, 0, 1, 
98, 0, 0, 0, 0, 1, 
100, 0, 0, 0, 0, 1, 
102, 0, 0, 0, 0, 1, 
104, 0, 0, 0, 0, 1, 
106, 0, 0, 0, 0, 1, 
108, 0, 0, 0, 0, 1, 
110, 0, 0, 0, 0, 1, 
112, 0, 0, 0, 0, 1, 
114, 0, 0, 0, 0, 1, 
116, 0, 0, 0, 0, 1, 
118, 0, 0, 0, 0, 1, 
120, 0, 0, 0, 0, 1, 
122, 0, 0, 0, 0, 1, 
124, 0, 0, 0, 0, 1, 
126, 0, 0, 0, 0, 1, 
128, 0, 0, 0, 0, 1, 
130, 0, 0, 0, 0, 1, 
132, 0, 0, 0, 0, 1, 
134, 0, 0, 0, 0, 1, 
136, 0, 0, 0, 0, 1, 
138, 0, 0, 0, 0, 1, 
140, 0, 0, 0, 0, 1, 
142, 0, 0, 0, 0, 1, 
144, 0, 0, 0, 0, 1, 
146, 0, 0, 0, 0, 1, 
148, 0, 0, 0, 0, 1, 
150, 0, 0, 0, 0, 1, 
152, 0, 0, 0, 0, 1, 
154, 0, 0, 0, 0, 1, 
156, 0, 0, 0, 0, 1, 
158, 0, 0, 0, 0, 1, 
160, 0, 0, 0, 0, 1, 
162, 0, 0, 0, 0, 1, 
164, 0, 0, 0, 0, 1, 
166, 0, 0, 0, 0, 1, 
168, 0, 0, 0, 0, 1, 
170, 0, 0, 0, 0, 1, 
172, 0, 0, 0, 0, 1, 
174, 0, 0, 0, 0, 1, 
176, 0, 0, 0, 0, 1, 
178, 0, 0, 0, 0, 1, 
180, 0, 0, 0, 0, 1, 
182, 0, 0, 0, 0, 1, 
184, 0, 0, 0, 0, 1, 
186, 0, 0, 0, 0, 1, 
188, 0, 0, 0, 0, 1, 
190, 0, 0, 0, 0, 1, 
192, 0, 0, 0, 0, 1, 
194, 0, 0, 0, 0, 1, 
196, 0, 0, 0, 0, 1, 
198, 0, 0, 0, 0, 1, 
200, 0, 0, 0, 0, 1, 
202, 0, 0, 0, 0, 1, 
204, 0, 0, 0, 0, 1, 
206, 0, 0, 0, 0, 1, 
208, 0, 0, 0, 0, 1, 
210, 0, 0, 0, 0, 1, 
212, 0, 0, 0, 0, 1, 
214, 0, 0, 0, 0, 1, 
216, 0, 0, 0, 0, 1, 
218, 0, 0, 0, 0, 1, 
220, 0, 0, 0, 0, 1, 
222, 0, 0, 0, 0, 1, 
224, 0, 0, 0, 0, 1, 
226, 0, 0, 0, 0, 1, 
228, 0, 0, 0, 0, 1, 
230, 0, 0, 0, 0, 1, 
232, 0, 0, 0, 0, 1, 
234, 0, 0, 0, 0, 1, 
236, 0, 0, 0, 0, 1, 
238, 0, 0, 0, 0, 1, 
240, 0, 0, 0, 0, 1, 
242, 0, 0, 0, 0, 1, 
244, 0, 0, 0, 0, 1, 
246, 0, 0, 0, 0, 1, 
248, 0, 0, 0, 0, 1, 
250, 0, 0, 0, 0, 1, 
252, 0, 0, 0, 0, 1, 
254, 0, 0, 0, 0, 1, 
256, 0, 0, 0, 0, 1, 
258, 0, 0, 0, 0, 1, 
260, 0, 0, 0, 0, 1, 
262, 0, 0, 0, 0, 1, 
264, 0, 0, 0, 0, 1, 
266, 0, 0, 0, 0, 1, 
268, 0, 0, 0, 0, 1, 
270, 0, 0, 0, 0, 1, 
272, 0, 0, 0, 0, 1, 
274, 0, 0, 0, 0, 1, 
276, 0, 0, 0, 0, 1, 
278, 0, 0, 0, 0, 1, 
280, 0, 0, 0, 0, 1, 
282, 0, 0, 0, 0, 1, 
284, 0, 0, 0, 0, 1, 
286, 0, 0, 0, 0, 1, 
288, 0, 0, 0, 0, 1, 
290, 0, 0, 0, 0, 1, 
292, 0, 0, 0, 0, 1, 
294, 0, 0, 0, 0, 1, 
296, 0, 0, 0, 0, 1, 
298, 0, 0, 0, 0, 1, 
300, 0, 0, 0, 0, 1, 
302, 0, 0, 0, 0, 1, 
304, 0, 0, 0, 0, 1, 
306, 0, 0, 0, 0, 1, 
308, 0, 0, 0, 0, 1, 
310, 0, 0, 0, 0, 1, 
312, 0, 0, 0, 0, 1, 
314, 0, 0, 0, 0, 1, 
316, 0, 0, 0, 0, 1, 
318, 0, 0, 0, 0, 1, 
320, 0, 0, 0, 0, 1, 
322, 0, 0, 0, 0, 1, 
324, 0, 0, 0, 0, 1, 
326, 0, 0, 0, 0, 1, 
328, 0, 0, 0, 0, 1, 
330, 0, 0, 0, 0, 1, 
332, 0, 0, 0, 0, 1, 
334, 0, 0, 0, 0, 1, 
336, 0, 0, 0, 0, 1, 
338, 0, 0, 0, 0, 1, 
340, 0, 0, 0, 0, 1, 
342, 0, 0, 0, 0, 1, 
344, 0, 0, 0, 0, 1, 
346, 0, 0, 0, 0, 1, 
348, 0, 0, 0, 0, 1, 
350, 0, 0, 0, 0, 1, 
352, 0, 0, 0, 0, 1, 
354, 0, 0, 0, 0, 1, 
356, 0, 0, 0, 0, 1, 
358, 0, 0, 0, 0, 1, 
360, 0, 0, 0, 0, 1, 
362, 0, 0, 0, 0, 1, 
364, 0, 0, 0, 0, 1, 
366, 0, 0, 0, 0, 1, 
368, 0, 0, 0, 0, 1, 
370, 0, 0, 0, 0, 1, 
372, 0, 0, 0, 0, 1, 
374, 0, 0, 0, 0, 1, 
376, 0, 0, 0, 0, 1, 
378, 0, 0, 0, 0, 1, 
380, 0, 0, 0, 0, 1, 
382, 0, 0, 0, 0, 1, 
384, 0, 0, 0, 0, 1, 
386, 0, 0, 0, 0, 1, 
388, 0, 0, 0, 0, 1, 
390, 0, 0, 0, 0, 1, 
392, 0, 0, 0, 0, 1, 
394, 0, 0, 0, 0, 1, 
396, 0, 0, 0, 0, 1, 
398, 0, 0, 0, 0, 1, 
400, 0, 0, 0, 0, 1, 
402, 0, 0, 0, 0, 1, 
404, 0, 0, 0, 0, 1, 
406, 0, 0, 0, 0, 1, 
408, 0, 0, 0, 0, 1, 
410, 0, 0, 0, 0, 1, 
412, 0, 0, 0, 0, 1, 
414, 0, 0, 0, 0, 1, 
416, 0, 0, 0, 0, 1, 
418, 0, 0, 0, 0, 1, 
420, 0, 0, 0, 0, 1, 
422, 0, 0, 0, 0, 1, 
424, 0, 0, 0, 0, 1, 
426, 0, 0, 0, 0, 1, 
428, 0, 0, 0, 0, 1, 
430, 0, 0, 0, 0, 1, 
432, 0, 0, 0, 0, 1, 
434, 0, 0, 0, 0, 1, 
436, 0, 0, 0, 0, 1, 
438, 0, 0, 0, 0, 1, 
440, 0, 0, 0, 0, 1, 
442, 0, 0, 0, 0, 1, 
444, 0, 0, 0, 0, 1, 
446, 0, 0, 0, 0, 1, 
448, 0, 0, 0, 0, 1, 
450, 0, 0, 0, 0, 1, 
452, 0, 0, 0, 0, 1, 
454, 0, 0, 0, 0, 1, 
456, 0, 0, 0, 0, 1, 
458, 0, 0, 0, 0, 1, 
460, 0, 0, 0, 0, 1, 
462, 0, 0, 0, 0, 1, 
464, 0, 0, 0, 0, 1, 
466, 0, 0, 0, 0, 1, 
468, 0, 0, 0, 0, 1, 
470, 0, 0, 0, 0, 1, 
472, 0, 0, 0, 0, 1, 
474, 0, 0, 0, 0, 1, 
476, 0, 0, 0, 0, 1, 
478, 0, 0, 0, 0, 1, 
480, 0, 0, 0, 0, 1, 
482, 0, 0, 0, 0, 1, 
484, 0, 0, 0, 0, 1, 
486, 0, 0, 0, 0, 1, 
488, 0, 0, 0, 0, 1, 
490, 0, 0, 0, 0, 1, 
492, 0, 0, 0, 0, 1, 
494, 0, 0, 0, 0, 1, 
496, 0, 0, 0, 0, 1, 
498, 0, 0, 0, 0, 1, 
500, 0, 0, 0, 0, 1, 
502, 0, 0, 0, 0, 1, 
504, 0, 0, 0, 0, 1, 
506, 0, 0, 0, 0, 1, 
508, 0, 0, 0, 0, 1, 
510, 0, 0, 0, 0, 1, 
512, 0, 0, 0, 0, 1, 
514, 0, 0, 0, 0, 1, 
516, 0, 0, 0, 0, 1, 
518, 0, 0, 0, 0, 1, 
520, 0, 0, 0, 0, 1, 
522, 0, 0, 0, 0, 1, 
524, 0, 0, 0, 0, 1, 
526, 0, 0, 0, 0, 1, 
528, 0, 0, 0, 0, 1, 
530, 0, 0, 0, 0, 1, 
532, 0, 0, 0, 0, 1, 
